mode,fold,sign,term,coefficient
unseen_target_disease_pair,1,negative,egfr,-0.3264609417013243
unseen_target_disease_pair,1,negative,metastatic,-0.31777995500796835
unseen_target_disease_pair,1,negative,methods,-0.3082006983384419
unseen_target_disease_pair,1,negative,psa,-0.3077750898441581
unseen_target_disease_pair,1,negative,colorectal,-0.3070528431667545
unseen_target_disease_pair,1,negative,stage,-0.3047127120871679
unseen_target_disease_pair,1,negative,colorectal cancer,-0.3001280941857834
unseen_target_disease_pair,1,negative,acceptable,-0.2969814622186759
unseen_target_disease_pair,1,negative,note,-0.2891277403796721
unseen_target_disease_pair,1,positive,nsclc prior,0.5136888097275722
unseen_target_disease_pair,1,positive,greater,0.46437706662965894
unseen_target_disease_pair,1,positive,adequate,0.4182834357666319
unseen_target_disease_pair,1,positive,malt,0.38294392037947406
unseen_target_disease_pair,1,positive,known active,0.38205122583547557
unseen_target_disease_pair,1,positive,severe,0.3781407769695539
unseen_target_disease_pair,1,positive,appendix,0.37629279325206655
unseen_target_disease_pair,1,positive,ihc,0.37264230761190337
unseen_target_disease_pair,1,positive,advanced nsclc,0.3720842407930689
unseen_target_disease_pair,1,positive,renal,0.3678905060529458
unseen_target_disease_pair,1,positive,history malignancy,0.3639765806858294
unseen_target_disease_pair,1,positive,judged,0.35115352109233616
unseen_target_disease_pair,1,positive,temozolomide,0.350943293242455
unseen_target_disease_pair,1,positive,concomitant,0.3493248023054326
unseen_target_disease_pair,1,positive,urine protein,0.34886367321183526
unseen_target_disease_pair,2,negative,uln,-0.4425964496945551
unseen_target_disease_pair,2,negative,stage,-0.3979786814659382
unseen_target_disease_pair,2,negative,characteristics,-0.3807280209496423
unseen_target_disease_pair,2,negative,receptor,-0.3547049790912018
unseen_target_disease_pair,2,negative,post,-0.3244542989598901
unseen_target_disease_pair,2,negative,µl,-0.3173723735759824
unseen_target_disease_pair,2,negative,leukemia,-0.3170017467021091
unseen_target_disease_pair,2,negative,assessed investigator,-0.31560504111049303
unseen_target_disease_pair,2,negative,ii,-0.311944543341555
unseen_target_disease_pair,2,negative,cyclophosphamide,-0.3018230265080769
unseen_target_disease_pair,2,negative,receive,-0.2919213141148126
unseen_target_disease_pair,2,negative,estrogen,-0.29016497477443526
unseen_target_disease_pair,2,negative,procedure,-0.28978496512428237
unseen_target_disease_pair,2,negative,positive,-0.2882683924100936
unseen_target_disease_pair,2,negative,hepatitis virus,-0.28781574344893146
unseen_target_disease_pair,2,positive,109,0.6744511408242632
unseen_target_disease_pair,2,positive,adequate bone,0.49522252441499137
unseen_target_disease_pair,2,positive,participant,0.491524280694001
unseen_target_disease_pair,2,positive,judged,0.47299874215144866
unseen_target_disease_pair,2,positive,number,0.46449957835605915
unseen_target_disease_pair,2,positive,history,0.4008318830501453
unseen_target_disease_pair,2,positive,adequate,0.39509319524303005
unseen_target_disease_pair,2,positive,temozolomide,0.389174749225211
unseen_target_disease_pair,2,positive,fish,0.37955643887479656
unseen_target_disease_pair,2,positive,gemcitabine carboplatin,0.3697531195239263
unseen_target_disease_pair,2,positive,day,0.36565081277559613
unseen_target_disease_pair,2,positive,agree use,0.3649988859627271
unseen_target_disease_pair,2,positive,participate,0.35701368110263587
unseen_target_disease_pair,2,positive,lactating women,0.35382136986660506
unseen_target_disease_pair,2,positive,laboratory abnormalities,0.3511950708656379
