nct_id,title,status,canonical_drug,primary_target,modality,disease,has_biomarker,start_year,label_strict,label_balanced,label_permissive,label_provenance,drug_is_mapped,drug_is_mapped.1,ot_overall_score,ot_genetic_association,ot_somatic_mutation,ot_known_drug,ot_animal_model,ot_rna_expression,ot_literature,pubmed_pair_count,clinical_trial_pub_count,pair_pub_acceleration,lineage_specificity,gwas_disease_specificity,alteration_frequency,co_alteration_burden,genomic_complexity,ot_data_missing,cbio_data_missing,biomarker_missing,network_degree,clustering_coefficient,betweenness_centrality,tractability,binding_evidence,potency_proxy,mechanistic_maturity,druggability_tier,target_class,pathway_count,pathway_evidence,alternative_pathway_burden,gwas_association_count,cosmic_census_member,somatic_evidence,depmap_chronos,depmap_essential,depmap_selective,tumor_expression,normal_tissue_burden,tumor_specificity,expression_variability,omnipath_degree,omnipath_references,known_drug_count,interaction_score,disgenet_score,disgenet_disease_count,modality_score,drug_is_mapped.2,drug_is_mapped.3,tmb_relevance,pdl1_expression,immune_infiltration,io_mechanism,is_io_target,tds_small_molecule,tds_biologic,tds_combined,drug_class,polypharmacology_proxy,human_study_fraction,translational_study_fraction,perturbation_concordance,target_disease_assoc,pub_acceleration,literature_diversity,context_specificity,biomarker_directness,biomarker_prevalence,biomarker_clonality,assay_precision,CDS,TDS,BFS,MCS,TWS,EMS,BIOLOGY_SCORE,_primary_target,_disease,pubmed_total_raw,pubmed_clinical_trial_raw,pubmed_recent_raw,pubmed_status,pubmed_data_missing,log_pubmed_total_raw,log_pubmed_clinical_trial_raw,log_pubmed_recent_raw,clinical_publication_fraction
NCT03730012,Phase 1/2 Study of ASP2215 (Gilteritinib) Combined With Atezolizumab in Patients With Relapsed or Treatment Refractory FLT3 Mutated Acute Myeloid Leukemia (AML),COMPLETED,atezolizumab,CD274,antibody,leukemia,True,2019.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.039,0.01,0.9615384615384615,0.0,0.45,,,,1,1,0,929.0,0.0007426555435952,1.0,1.0,1.0,0.688875,0.2,0.6,0.7,27.0,1.0,0.54,0.4,0.5,0.5,-0.18,0.0,0.0,0.4,0.6,0.0,0.5,0.58,0.4639999999999999,0.9,1.0,0.63,0.63,0.8,1,1.0,0.85,0.95,0.8,1.0,1.0,0.0,0.6575,0.6575,1.0,0.0,0.02564102564102564,0.017948717948717947,0.72,0.3,0.9615384615384615,0.0245,0.1,0.5,0.3,0.7,0.8,0.409,93.4383,0.295,0.3863,0.28,0.2138,18.9601,cd274,leukemia,39.0,1.0,15.0,complete,0,3.6888794541139363,0.6931471805599453,2.772588722239781,0.02564102564102564
NCT00517829,Phase II Trial of Docetaxel Plus Oxaliplatin (DOCOX) With or Without Cetuximab in Patients With Metastatic Gastric and/or Gastroesophageal Junction Adenocarcinoma,COMPLETED,cetuximab,EGFR,antibody,gastric cancer,True,2007.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.959,0.27,0.4744525547445255,0.0,0.9,,,,1,1,0,774.0,0.0007825607235142,1.0,1.0,1.0,0.6139,0.1,1.0,0.7,56.0,1.0,1.0,0.85,1.0,1.0,-0.82,1.0,1.0,0.4,0.6,0.0,0.5,0.95,0.76,1.0,1.0,0.9,0.9,0.8,1,1.0,0.2,0.3,0.4,0.0,0.0,0.0,0.295,0.295,1.0,0.0,0.028154327424400417,0.01970802919708029,0.72,0.3,0.4744525547445255,0.6145,0.1,0.5,0.3,0.7,0.8,0.7375,78.0221,0.295,0.5433,0.28,0.3898,16.0079,egfr,gastric cancer,959.0,27.0,182.0,complete,0,6.866933284461882,3.332204510175204,5.209486152841421,0.028154327424400417
NCT00537095,"A Randomized, Double Blind, Placebo-controlled Phase II, Multi-Centre Study to Assess the Efficacy and Safety of Vandetanib (ZD6474) in Patients With Locally Advanced or Metastatic Papillary or Follicular Thyroid Carcinoma Failing or Unsuitable for Radioiodine Therapy",COMPLETED,unmapped,UNKNOWN,unknown,thyroid cancer,True,2007.0,1,1,1,completed+positive_text+results,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0.0,0.2,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,,,0.0,0.5,0.3,0.7,0.8,0.0,0.0,0.295,0.0,0.22,0.0,0.0625,unknown,thyroid cancer,,,,,1,,,,
NCT01534637,A Feasibility Study to Discern the Tolerability of 5-FU/Gemcitabine Based Chemotherapy Concurrent With Upper Abdominal Radiation and the Utility of Aprepitant/5HT-3 Antagonist (EMEND) for the Prevention of ChemoRadiation-Induced Nausea and Vomiting (CRINV),COMPLETED,capecitabine,TYMS,small_molecule,pancreatic cancer,True,2006.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.009,0.01,0.2777777777777778,0.0,0.6,,,,1,1,0,481.0,0.0008138274428274,0.962,1.0,1.0,0.82585,0.05,0.32,0.7,6.0,0.3,0.12,0.55,0.0,0.0,-0.91,1.0,0.0,0.4,0.6,0.0,0.5,0.7,0.5599999999999999,0.8,0.9,0.78,0.78,0.7,1,1.0,0.15,0.2,0.3,0.0,0.0,0.9164625,0.0,0.9164625,0.0,0.0,0.1111111111111111,0.07777777777777777,0.3,0.3,0.2777777777777778,0.0095,0.1,0.5,0.3,0.7,0.8,0.2215,48.7514,0.295,0.1628,0.28,0.1021,9.9199,tyms,pancreatic cancer,9.0,1.0,1.0,complete,0,2.302585092994046,0.6931471805599453,0.6931471805599453,0.1111111111111111
NCT02899195,"Open Label, Phase II Study of Anti - Programmed Death - Ligand 1 Antibody, Durvalumab (MEDI4736), in Combination With Chemotherapy for the First-Line Treatment of Unresectable Mesothelioma",COMPLETED,durvalumab,CD274,antibody,cancer nos,True,2017.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.0,0.0,0.0,0.0,0.45,,,,1,1,0,929.0,0.0007426555435952,1.0,1.0,1.0,0.688875,0.2,0.6,0.7,27.0,1.0,0.54,0.4,0.5,0.5,-0.18,0.0,0.0,0.4,0.6,0.0,0.5,0.58,0.4639999999999999,0.9,1.0,0.63,0.63,0.8,1,1.0,0.85,0.95,0.8,1.0,1.0,0.0,0.6575,0.6575,1.0,0.0,0.0,0.0,0.72,0.3,0.0,0.0,0.1,0.5,0.3,0.7,0.8,0.409,93.4383,0.295,0.379,0.28,0.0,18.9372,cd274,cancer nos,0.0,0.0,0.0,complete,0,0.0,0.0,0.0,0.0
NCT00532129,An Open-Label Study to Characterize the Safety and Response Rate of MabThera (Rituximab) Plus Chlorambucil in Previously Untreated Patients With CD20-Positive B-Cell Chronic Lymphocytic Leukemia,COMPLETED,rituximab,MS4A1,antibody,leukemia,True,2007.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.85,0.62,0.68,0.9,0.4,0.65,0.82,0.015,0.01,1.0,0.0,0.65,,,,0,1,0,525.0,0.0006596552380952,1.0,0.5,0.0,0.0,0.05,0.44,0.7,11.0,0.55,0.22,0.6,0.5,0.5,-0.44,0.5,0.0,0.4,0.6,0.0,0.5,0.68,0.544,0.9,1.0,0.73,0.73,0.8,1,1.0,0.25,0.35,0.65,0.0,0.0,0.0,0.3075,0.3075,1.0,0.5,0.06666666666666667,0.04666666666666666,0.67,0.85,1.0,0.0125,0.31,0.5,0.3,0.7,0.8,0.5815,52.8725,0.295,0.3533,0.3515,0.2309,10.8959,ms4a1,leukemia,15.0,1.0,7.0,complete,0,2.772588722239781,0.6931471805599453,2.0794415416798357,0.06666666666666667
NCT02091531,A Phase 2 Study of the Dual mTOR Inhibitor MLN0128 in Patients With Metastatic Castration-Resistant Prostate Cancer (CRPC),COMPLETED,unmapped,UNKNOWN,unknown,prostate cancer,True,2014.0,1,1,1,completed+positive_text+results,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0.0,0.2,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,,,0.0,0.5,0.3,0.7,0.8,0.0,0.0,0.295,0.0,0.22,0.0,0.0625,unknown,prostate cancer,,,,,1,,,,
NCT03164772,A Phase 1/2 Study of Combination Immunotherapy and mRNA Vaccine in Subjects With Non-small Cell Lung Cancer (NSCLC),COMPLETED,durvalumab,CD274,antibody,nsclc,True,2017.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.88,0.62,0.68,0.92,0.4,0.72,0.85,0.097,0.02,1.0,0.0,0.45,,,,0,1,0,929.0,0.0007426555435952,1.0,1.0,1.0,0.688875,0.2,0.6,0.7,27.0,1.0,0.54,0.4,0.5,0.5,-0.18,0.0,0.0,0.4,0.6,0.0,0.5,0.58,0.4639999999999999,0.9,1.0,0.63,0.63,0.8,1,1.0,0.85,0.95,0.8,1.0,1.0,0.0,0.6575,0.6575,1.0,0.0,0.020618556701030927,0.014432989690721649,0.952,0.88,1.0,0.0585,0.31,0.5,0.3,0.7,0.8,0.5365,93.5893,0.295,0.5254,0.3585,0.2362,19.064,cd274,nsclc,97.0,2.0,42.0,complete,0,4.584967478670572,1.0986122886681098,3.7612001156935624,0.020618556701030927
NCT00553202,"Killer Immunoglobulin-like Receptor (KIR) Incompatible Unrelated Donor Hematopoietic Cell Transplantation (SCT) for AML With Monosomy 7, -5/5q-, High FLT3-ITD AR, or Refractory and Relapsed Acute Myelogenous Leukemia (AML) in Children: A Children's Oncology Group (COG) Study",COMPLETED,cyclophosphamide,DNA,small_molecule,leukemia,True,2008.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,1.0,1.0,0.25010460251046024,0.0,0.3,,,,1,1,0,578.0,0.0007351176470588,1.0,1.0,1.0,0.5889090909090909,0.05,0.28,0.7,10.0,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.5,0.4,0.32,0.2,0.3,0.3,0.3,0.7,1,1.0,0.2,0.3,0.4,0.0,0.0,0.7372272727272728,0.0,0.7372272727272728,0.0,0.0,0.014811715481171548,0.010368200836820083,0.42,0.3,0.25010460251046024,1.0,0.1,0.5,0.3,0.7,0.8,0.1325,58.3158,0.295,0.514,0.28,0.4058,11.9112,dna,leukemia,23900.0,354.0,2391.0,complete,0,10.081675578048475,5.872117789475416,7.779885115070522,0.014811715481171548
NCT04828486,Phase II Study of FGFR Inhibitor Futibatinib in Combination With Anti-PD-1 Antibody Pembrolizumab in Patients With Advanced or Metastatic Hepatocellular Carcinoma With FGF19 Expression After First Line Therapy,COMPLETED,pembrolizumab,PDCD1,antibody,hepatocellular carcinoma,True,2021.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.09,0.0,1.0,0.0,0.5,,,,1,1,0,837.0,0.0007509342891278,1.0,1.0,0.6,0.6553333333333333,0.05,0.36,0.7,9.0,0.45,0.18,0.45,0.5,0.5,-0.15,0.0,0.0,0.4,0.6,0.0,0.5,0.6,0.48,0.9,1.0,0.65,0.65,0.8,1,1.0,0.85,0.8,0.85,1.0,1.0,0.0,0.62,0.62,1.0,0.0,0.0,0.0,0.39,0.3,1.0,0.045,0.1,0.5,0.3,0.7,0.8,0.42,84.1658,0.295,0.214,0.28,0.2248,17.0749,pdcd1,hepatocellular carcinoma,90.0,0.0,52.0,complete,0,4.51085950651685,0.0,3.970291913552122,0.0
NCT01298570,"Multi-Center, Randomized, Placebo-Controlled Phase II Study of Regorafenib in Combination With FOLFIRI Versus Placebo With FOLFIRI as Second-Line Therapy in Patients With Metastatic Colorectal Cancer",COMPLETED,regorafenib,VEGFR2,small_molecule,colorectal cancer,True,2011.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.291,0.24,0.5756013745704467,0.0,0.55,,,,1,1,0,606.0,0.0007355808580858,1.0,0.5,0.0,0.0,0.2,1.0,0.7,7.0,0.35,0.14,0.5,0.5,0.5,-0.31,0.5,0.0,0.4,0.6,0.0,0.5,0.4,0.32,0.9,1.0,0.3,0.3,0.7,1,1.0,0.2,0.3,0.4,0.0,0.0,0.33,0.0,0.33,0.0,0.5,0.08247422680412371,0.057731958762886594,0.3299999999999999,0.3,0.5756013745704467,0.26549999999999996,0.1,0.5,0.3,0.7,0.8,0.4125,60.835,0.295,0.2832,0.28,0.2453,12.4228,vegfr2,colorectal cancer,291.0,24.0,67.0,complete,0,5.676753802268282,3.2188758248682006,4.219507705176107,0.08247422680412371
NCT02273973,"A Phase II Randomized, Double-Blind Study of Neoadjuvant Letrozole Plus GDC-0032 Versus Letrozole Plus Placebo in Postmenopausal Women With ER-positive/HER2-negative, Early Stage Breast Cancer",COMPLETED,letrozole,CYP19A1,small_molecule,breast cancer,True,2014.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.88,0.62,0.68,0.93,0.4,0.7,0.83,0.216,0.07,0.45138888888888884,0.0,0.75,,,,0,1,0,740.0,0.0007961513513513,1.0,1.0,1.0,0.7198,0.05,0.52,0.7,3.0,0.15,0.06,0.7,0.5,0.5,-0.62,1.0,1.0,0.4,0.6,0.0,0.5,0.6,0.48,0.8,0.9,0.74,0.74,0.7,1,1.0,0.1,0.15,0.25,0.0,0.0,0.8899500000000001,0.0,0.8899500000000001,0.0,0.0,0.032407407407407406,0.022685185185185183,0.442,0.88,0.45138888888888884,0.14300000000000002,0.31,0.5,0.3,0.7,0.8,0.602,74.788,0.295,0.2883,0.3565,0.1676,15.2655,cyp19a1,breast cancer,216.0,7.0,39.0,complete,0,5.37989735354046,2.0794415416798357,3.6888794541139363,0.032407407407407406
