model_probability,bootstrap_unit,n,positives,repeats,auc,ci_low,ci_high,valid_replicates
biology_mlp_prob,trial,419,141,2000,0.5298484616562069,0.46846965114402866,0.5921459608513728,2000
biology_mlp_prob,canonical_drug,419,141,2000,0.5298484616562069,0.4580319292400443,0.582891333938294,2000
entity_mlp_prob,trial,419,141,2000,0.47781774580335723,0.42060078611093743,0.5381219447525823,2000
entity_mlp_prob,canonical_drug,419,141,2000,0.47781774580335723,0.37166529605263154,0.5313259063484027,2000
mlp_prob,trial,419,141,2000,0.4775243634879331,0.41885419832413795,0.536075871141386,2000
mlp_prob,canonical_drug,419,141,2000,0.4775243634879331,0.42514633222993575,0.5417534695150474,2000
transformer_prob,trial,419,141,2000,0.4393846624827797,0.38368602131609564,0.4986346469583929,2000
transformer_prob,canonical_drug,419,141,2000,0.4393846624827797,0.3608866625785564,0.4845094090541995,2000
