nct_id,title,status,canonical_drug,primary_target,disease,start_year,trial_url,reviewer,primary_endpoint,endpoint_met_yes_no_unclear,effect_direction,evidence_url,evidence_date,notes
NCT02019693,A Phase 2 Study of the MET Kinase Inhibitor INC280 in Papillary Renal Cell Cancer,COMPLETED,unmapped,UNKNOWN,renal cell carcinoma,2014.0,https://clinicaltrials.gov/study/NCT02019693,,,,,,,
NCT02055820,"A Phase Ib/II, Open-Label Study Evaluating the Safety, Efficacy and Pharmacokinetics of GDC-0199 (ABT-199) in Combination With Rituximab (R) or Obinutuzumab (G) Plus Cyclophosphamide, Doxorubicin, Vincristine, and Prednisone (CHOP) in Patients With B-Cell Non-Hodgkin's Lymphoma (NHL) and DLBCL",COMPLETED,venetoclax,BCL2,lymphoma,2013.0,https://clinicaltrials.gov/study/NCT02055820,,,,,,,
NCT02061085,"A Phase IIa Prospective, Multicenter, Open and Not Controlled of the Efficacy and Tolerability on the First Line Treatment With Eribulin as a Unic Agent on Patients With HER2 Negative Metastatic Breast Cancer Previously Treated With Taxanes",COMPLETED,unmapped,UNKNOWN,breast cancer,2013.0,https://clinicaltrials.gov/study/NCT02061085,,,,,,,
NCT02119676,"A Randomized, Double-Blind Study of Ruxolitinib or Placebo in Combination With Regorafenib in Subjects With Relapsed or Refractory Metastatic Colorectal Cancer",TERMINATED,regorafenib,VEGFR2,colorectal cancer,2014.0,https://clinicaltrials.gov/study/NCT02119676,,,,,,,
NCT02152137,"A Phase 2 Study of Efatutazone, an Oral PPAR Agonist, In Combination With Paclitaxel in Patients With Advanced Anaplastic Thyroid Cancer",COMPLETED,paclitaxel,TUBB,thyroid cancer,2014.0,https://clinicaltrials.gov/study/NCT02152137,,,,,,,
NCT02176213,"A Phase II Study of Pomalidomide, Daily Low Dose Oral Cyclophosphamide, and Dexamethasone in Relapsed/Refractory Multiple Myeloma",COMPLETED,pomalidomide,CRBN,multiple myeloma,2014.0,https://clinicaltrials.gov/study/NCT02176213,,,,,,,
NCT02206425,A Phase 1/2 Study of Ixazomib as a Replacement for Bortezomib or Carfilzomib for Multiple Myeloma (MM) Patients Recently Relapsed or Refractory to Their Last Combination Regimen Containing Either Bortezomib or Carfilzomib,COMPLETED,lenalidomide,CRBN,multiple myeloma,2014.0,https://clinicaltrials.gov/study/NCT02206425,,,,,,,
NCT02213289,PANGEA: Personalized Antibodies for Gastro-Esophageal Adenocarcinoma,COMPLETED,nivolumab,PDCD1,cancer nos,2015.0,https://clinicaltrials.gov/study/NCT02213289,,,,,,,
NCT02302833,A Phase II Study to Evaluate the Effects of Cabozantinib in Patients With Unresectable Metastatic Pheochromocytomas and Paragangliomas,COMPLETED,cabozantinib,MET,renal cell carcinoma,2015.0,https://clinicaltrials.gov/study/NCT02302833,,,,,,,
NCT02316340,Modulation of Autophagy: A Clinical Study of Vorinostat Plus Hydroxychloroquine Versus Regorafenib in Refractory Metastatic Colorectal Cancer (mCRC) Patients (CTMS# 14-2015),COMPLETED,regorafenib,VEGFR2,colorectal cancer,2015.0,https://clinicaltrials.gov/study/NCT02316340,,,,,,,
NCT02335424,A Phase II Clinical Trial of Pembrolizumab (MK-3475) in Subjects With Advanced/Unresectable or Metastatic Urothelial Cancer,COMPLETED,pembrolizumab,PDCD1,bladder cancer,2015.0,https://clinicaltrials.gov/study/NCT02335424,,,,,,,
NCT02342587,Safety and Clinical Activity of Lapatinib in Patients With HER2-positive Refractory Advanced Cancer: A Phase II Single Arm Prospective Study,COMPLETED,lapatinib,ERBB2,breast cancer,2014.0,https://clinicaltrials.gov/study/NCT02342587,,,,,,,
NCT02368691,"A Phase 2 Open Label, Multi-Center, Multinational Study Investigating The Efficacy and Safety Of GTx-024 On Advanced, Androgen Receptor-Positive Triple Negative Breast Cancer (AR+ TNBC)",TERMINATED,unmapped,UNKNOWN,breast cancer,2015.0,https://clinicaltrials.gov/study/NCT02368691,,,,,,,
NCT02453594,A Phase II Clinical Trial of MK-3475 (Pembrolizumab) in Subjects With Relapsed or Refractory (R/R) Classical Hodgkin Lymphoma (cHL),COMPLETED,pembrolizumab,PDCD1,lymphoma,2015.0,https://clinicaltrials.gov/study/NCT02453594,,,,,,,
NCT02454842,"A Phase 2 Study of TH-4000 (Tarloxotinib) in Patients With EGFR-Mutant, T790M-Negative, Advanced Non-Small Cell Lung Cancer Progressing on an EGFR Tyrosine Kinase Inhibitor",TERMINATED,unmapped,UNKNOWN,nsclc,2015.0,https://clinicaltrials.gov/study/NCT02454842,,,,,,,
NCT02466009,Regorafenib in Adults 70 Years or Older With Metastatic Colorectal Cancer: A Phase II Study,COMPLETED,regorafenib,VEGFR2,colorectal cancer,2015.0,https://clinicaltrials.gov/study/NCT02466009,,,,,,,
NCT02536742,A Phase II Study of Palbociclib Plus Fulvestrant for Pretreated Patients With ER+/HER2- Metastatic Breast Cancer,COMPLETED,palbociclib,CDK4,breast cancer,2016.0,https://clinicaltrials.gov/study/NCT02536742,,,,,,,
NCT02597322,"An Open-label, Non-randomized, Multicenter, Two Stage Designed Phase II Study of Axitinib for Downstaging Large Renal Tumors Not Primarily Suitable for Partial Nephrectomy (AXIPAN)",COMPLETED,axitinib,VEGFR2,renal cell carcinoma,2012.0,https://clinicaltrials.gov/study/NCT02597322,,,,,,,
NCT02640508,Phase II Trial of Eribulin and Lenvatinib in Advanced Solid Tumors (CTMS# 15-2139),COMPLETED,lenvatinib,VEGFR2,solid tumors,2016.0,https://clinicaltrials.gov/study/NCT02640508,,,,,,,
NCT02659020,"A Phase 1b (Open-Label)/Phase 2 (Randomized, Double-Blinded) Study Evaluating Gemcitabine and Docetaxel With or Without Olaratumab in the Treatment of Advanced Soft Tissue Sarcoma",COMPLETED,gemcitabine,RRM1,cancer nos,2016.0,https://clinicaltrials.gov/study/NCT02659020,,,,,,,
NCT02722668,Transplantation of Umbilical Cord Blood From Unrelated Donors in Patients With Hematological Diseases Using a Non-Myeloablative Preparative Regimen,COMPLETED,cyclophosphamide,DNA,multiple myeloma,2017.0,https://clinicaltrials.gov/study/NCT02722668,,,,,,,
NCT02775695,Efficacy of Doxycycline on Metakaryote Cell Death in Patients With Resectable Pancreatic Cancer,COMPLETED,unmapped,UNKNOWN,pancreatic cancer,2017.0,https://clinicaltrials.gov/study/NCT02775695,,,,,,,
NCT02815995,A Phase II Multi-Arm Study to Test the Efficacy of Immunotherapeutic Agents in Multiple Sarcoma Subtypes,COMPLETED,durvalumab,CD274,cancer nos,2016.0,https://clinicaltrials.gov/study/NCT02815995,,,,,,,
NCT02939651,"A Phase 2, Open-label Study of Pembrolizumab Monotherapy in Patients With Metastatic High Grade Neuroendocrine Tumors",COMPLETED,pembrolizumab,PDCD1,cancer nos,2016.0,https://clinicaltrials.gov/study/NCT02939651,,,,,,,
NCT02978222,"A Randomized Multicenter Phase II Trial to Evaluate the Safety, Efficacy and Immunogenicity of Vaccination With Folate Receptor Alpha Peptides With GM-CSF Versus GM-CSF Alone in Patients With Platinum Sensitive Ovarian Cancer and a Response or Stable Disease to Platinum Therapy",TERMINATED,unmapped,UNKNOWN,ovarian cancer,2017.0,https://clinicaltrials.gov/study/NCT02978222,,,,,,,
NCT03006848,"A Phase II Trial of Avelumab, A Fully Human Antibody That Targets Cells Expressing PD-L1, in Patients With Recurrent or Progressive Osteosarcoma",COMPLETED,avelumab,CD274,cancer nos,2017.0,https://clinicaltrials.gov/study/NCT03006848,,,,,,,
NCT03093831,A Phase II Investigator Sponsored Multi-Centre Trial of the Bruton's Tyrosine Kinase (BTK) Inhibitor Ibrutinib in Patients With Relapsed or Refractory Marginal Zone Lymphoma,TERMINATED,ibrutinib,BTK,lymphoma,2016.0,https://clinicaltrials.gov/study/NCT03093831,,,,,,,
NCT03098030,"A Two-part, Open-label, Randomized, Phase 2/3 Study of Dinutuximab and Irinotecan Versus Irinotecan for Second Line Treatment of Subjects With Relapsed or Refractory Small Cell Lung Cancer",COMPLETED,irinotecan,TOP1,cancer nos,2017.0,https://clinicaltrials.gov/study/NCT03098030,,,,,,,
NCT03108495,"A Phase 2, Multicenter Study to Evaluate the Efficacy and Safety Using Autologous Tumor Infiltrating Lymphocytes (LN-145) in Patients With Recurrent, Metastatic or Persistent Cervical Carcinoma",TERMINATED,pembrolizumab,PDCD1,cervical cancer,2017.0,https://clinicaltrials.gov/study/NCT03108495,,,,,,,
NCT03248427,CORALLEEN: A Phase 2 Clinical Trial of Multi-agent Chemotherapy or Letrozole Plus Ribociclib (LEE011) as Neoadjuvant Treatment for Postmenopausal Patients With Luminal B/HER2-negative Breast Cancer.,COMPLETED,ribociclib,CDK4,breast cancer,2017.0,https://clinicaltrials.gov/study/NCT03248427,,,,,,,
NCT03274258,Phase II Trial of Nivolumab Plus Ipilimumab in Patients With Renal Medullary Carcinoma,TERMINATED,nivolumab,PDCD1,renal cell carcinoma,2017.0,https://clinicaltrials.gov/study/NCT03274258,,,,,,,
NCT03321630,"A Phase II Study of Lenvatinib, a Multi-targeted Tyrosine Kinase Inhibitor, Combined With Pembrolizumab (PD-1 Inhibitor) for the Treatment of Metastatic Gastroesophageal Cancer Patients Who Have Progressed on First or Subsequent Line Therapies",COMPLETED,pembrolizumab,PDCD1,gastric cancer,2017.0,https://clinicaltrials.gov/study/NCT03321630,,,,,,,
NCT03418324,"A Phase 2 Study of TRC105 (Anti-endoglin Antibody) With Abiraterone and With Enzalutamide in Metastatic, Castration Resistant Prostate Cancer Patients Progressing on Therapy",COMPLETED,enzalutamide,AR,prostate cancer,2018.0,https://clinicaltrials.gov/study/NCT03418324,,,,,,,
NCT03510871,Nivolumab Plus Ipilimumab as Neoadjuvant Therapy for Hepatocellular Carcinoma (HCC),COMPLETED,nivolumab,PDCD1,hepatocellular carcinoma,2019.0,https://clinicaltrials.gov/study/NCT03510871,,,,,,,
NCT03531840,Phase II Study of Olaparib in Subjects With Malignant Mesothelioma,COMPLETED,olaparib,PARP1,cancer nos,2018.0,https://clinicaltrials.gov/study/NCT03531840,,,,,,,
NCT03570619,IMPACT: Immunotherapy in Patients With Metastatic Cancers and CDK12 Mutations,COMPLETED,nivolumab,PDCD1,solid tumors,2018.0,https://clinicaltrials.gov/study/NCT03570619,,,,,,,
NCT03733990,"A Phase I/II Open-Label, Three-Part, Dose-Finding and Separate Cohort Expansion Trial to Assess the Safety, Tolerability and Preliminary Efficacy of Repeated Doses of CLEVER-1 Antibody FP-1305, in Subjects With Advanced Solid Tumours",COMPLETED,unmapped,UNKNOWN,cancer nos,2018.0,https://clinicaltrials.gov/study/NCT03733990,,,,,,,
NCT03760666,"A Phase 1b/2a Open-label, Multi-center Study to Assess the Safety, Efficacy and Pharmacokinetics of Intrapatient Dose-adjusted Brequinar and Inhibition of Dihydroorotate Dehydrogenase (DHODH) in Adult Subjects With AML",TERMINATED,unmapped,UNKNOWN,leukemia,2018.0,https://clinicaltrials.gov/study/NCT03760666,,,,,,,
NCT03801304,Open Label Phase II Trial to Evaluate Safety and Efficacy of Vinorelbine With Metronomic Administration in Combination With Atezolizumab as Second-line Treatment for Patients With Stage IV Non-small Cell Lung Cancer,COMPLETED,atezolizumab,CD274,nsclc,2019.0,https://clinicaltrials.gov/study/NCT03801304,,,,,,,
NCT04009876,"Phase II, Multicenter, Open-label, Non-randomized Study of Neoadjuvant Chemotherapy NALIRINOX (5-FU/LV + Oxaliplatin + Nal-IRI) Followed by Chemoradiotherapy in Patients With Rectal Cancer in a Watch-and-wait Program",COMPLETED,oxaliplatin,DNA,colorectal cancer,2019.0,https://clinicaltrials.gov/study/NCT04009876,,,,,,,
NCT04045613,An Open-label Multi-cohort Phase 1b/2 Study of Derazantinib and Atezolizumab in Patients With Urothelial Cancer Expressing Activating Molecular FGFR Aberrations,COMPLETED,atezolizumab,CD274,bladder cancer,2019.0,https://clinicaltrials.gov/study/NCT04045613,,,,,,,
NCT04154189,"A Multicenter, Open-label, Randomized Phase 2 Study to Compare the Efficacy and Safety of Lenvatinib in Combination With Ifosfamide and Etoposide Versus Ifosfamide and Etoposide in Children, Adolescents and Young Adults With Relapsed or Refractory Osteosarcoma (OLIE)",COMPLETED,lenvatinib,VEGFR2,cancer nos,2020.0,https://clinicaltrials.gov/study/NCT04154189,,,,,,,
NCT04166383,Phase II Trial of VB-111 in Combination With Nivolumab in Patients With Metastatic Colorectal Cancer (mCRC).,TERMINATED,nivolumab,PDCD1,colorectal cancer,2020.0,https://clinicaltrials.gov/study/NCT04166383,,,,,,,
NCT04308785,"A Multicenter, Double-Blind, Placebo-Controlled, Randomized, Phase 2 Study to Investigate the Efficacy and Safety of Atezolizumab With or Without Tiragolumab as Consolidation Therapy in Patients With Limited Stage Small Cell Lung Cancer Who Have Not Progressed After Chemoradiotherapy",TERMINATED,atezolizumab,CD274,cancer nos,2021.0,https://clinicaltrials.gov/study/NCT04308785,,,,,,,
NCT04347226,A Randomized Phase 2 Study of Anti-IL-8 Therapy Versus Standard of Care in the Treatment of Hospitalized Patients With Severe COVID-19,TERMINATED,unmapped,UNKNOWN,solid tumors,2020.0,https://clinicaltrials.gov/study/NCT04347226,,,,,,,
NCT04495894,A Pilot Study of Biomarker Evaluation and Safety of Pre-Incisional Ketorolac for Patients Undergoing Surgical Resection for Non-Small Cell Lung Cancer and Renal Cell Carcinoma,TERMINATED,unmapped,UNKNOWN,nsclc,2020.0,https://clinicaltrials.gov/study/NCT04495894,,,,,,,
NCT04700072,A Phase 1/2 Open-Label Rolling-Arm Umbrella Platform Design of Investigational Agents With or Without Pembrolizumab or Pembrolizumab Alone in Participants With Melanoma (KEYMAKER-U02): Substudy 02D,COMPLETED,pembrolizumab,PDCD1,melanoma,2021.0,https://clinicaltrials.gov/study/NCT04700072,,,,,,,
NCT04933695,"A Phase 2, Multicenter, Open-label Study of Sotorasib (AMG 510) in Subjects With Stage IV NSCLC Whose Tumors Harbor a KRAS G12C Mutation in Need of First-line Treatment (CodeBreaK 201)",COMPLETED,sotorasib,KRAS,nsclc,2022.0,https://clinicaltrials.gov/study/NCT04933695,,,,,,,
NCT04944173,A Phase II Study of Circulating Tumor DNA Directed Consolidation Durvalumab (MEDI4736) Following Induction and Concurrent Durvalumab with SABR for Stage I NSCLC. SCION: SABR and Checkpoint Inhibition of NSCLC,WITHDRAWN,durvalumab,CD274,nsclc,2023.0,https://clinicaltrials.gov/study/NCT04944173,,,,,,,
NCT05085002,A Phase 2 Study to Evaluate the Safety and Efficacy of Lerociclib in Participants With Advanced Breast Cancer,TERMINATED,letrozole,CYP19A1,breast cancer,2021.0,https://clinicaltrials.gov/study/NCT05085002,,,,,,,
NCT05109442,"A Phase 1/2a Open Label, Multicenter Study to Assess the Safety, Tolerability, Pharmacokinetics, and Efficacy of AFM24 in Combination With Atezolizumab in Patients With Selected Advanced/Metastatic EGFR-expressing Cancers",TERMINATED,atezolizumab,CD274,solid tumors,2021.0,https://clinicaltrials.gov/study/NCT05109442,,,,,,,
NCT05653427,"A Phase 2, Open-Label Study to Evaluate the Safety, Efficacy and Pharmacokinetics of Amivantamab Monotherapy in Participants With Previously Treated Advanced Hepatocellular Carcinoma",TERMINATED,unmapped,UNKNOWN,hepatocellular carcinoma,2022.0,https://clinicaltrials.gov/study/NCT05653427,,,,,,,
NCT05687617,"Diagnostic Value of Intraoperative Near-infrared Imaging With Indocyanine Green for Detection of Peritoneal Metastases During Staging Laparoscopy for Gastric Adenocarcinoma: a Prospective, Multicentric Study.",TERMINATED,unmapped,UNKNOWN,gastric cancer,2022.0,https://clinicaltrials.gov/study/NCT05687617,,,,,,,
NCT06022692,Water-filtered Infrared A Radiation Whole-body Hyperthermia Combined With Immune Checkpoint Inhibitor Therapy for Advanced Gastrointestinal Tumours: A Prospective Open-label Single-arm Phase 2 Study,COMPLETED,unmapped,UNKNOWN,cancer nos,2020.0,https://clinicaltrials.gov/study/NCT06022692,,,,,,,
NCT06333769,A Phase II Multicenter Clinical Trial of Modified Short-course Radiotherapy Combined With CAPOX and PD-1 Monoclonal Antibody for Locally Advanced Mid-low Rectal Cancer,COMPLETED,capecitabine,TYMS,colorectal cancer,2024.0,https://clinicaltrials.gov/study/NCT06333769,,,,,,,
