primary_target,disease,family,n,k,raw_rate,posterior_mean,ci_lo,ci_hi,prior_alpha,prior_beta,own_data_weight
VEGFA,hepatocellular carcinoma,angiogenesis,1,0,0.0,0.15375608988903122,0.002805000751724694,0.4803467583873259,0.6705817555284743,2.6907528492500834,0.2292876127652155
VEGFA,lymphoma,angiogenesis,1,0,0.0,0.15375608988903122,0.002805000751724694,0.4803467583873259,0.6705817555284743,2.6907528492500834,0.2292876127652155
VEGFR2,endometrial cancer,angiogenesis,1,1,1.0,0.3830437026542467,0.0744361212157132,0.7575582862287622,0.6705817555284743,2.6907528492500834,0.2292876127652155
TYMS,pancreatic cancer,cytotoxic_chemo,1,0,0.0,0.09531289432107833,3.0946885701619083e-06,0.4422400077196057,0.25931056800784047,1.4613136440143757,0.367562706963013
VEGFA,melanoma,angiogenesis,1,0,0.0,0.15375608988903122,0.002805000751724694,0.4803467583873259,0.6705817555284743,2.6907528492500834,0.2292876127652155
TYMS,colorectal cancer,cytotoxic_chemo,1,1,1.0,0.46287560128409133,0.06610251911029046,0.8934831911189446,0.25931056800784047,1.4613136440143757,0.367562706963013
TYMS,breast cancer,cytotoxic_chemo,1,1,1.0,0.46287560128409133,0.06610251911029046,0.8934831911189446,0.25931056800784047,1.4613136440143757,0.367562706963013
TUBB,thyroid cancer,cytotoxic_chemo,1,0,0.0,0.09531289432107833,3.0946885701619083e-06,0.4422400077196057,0.25931056800784047,1.4613136440143757,0.367562706963013
TUBB,pancreatic cancer,cytotoxic_chemo,1,0,0.0,0.09531289432107833,3.0946885701619083e-06,0.4422400077196057,0.25931056800784047,1.4613136440143757,0.367562706963013
TUBB,ovarian cancer,cytotoxic_chemo,1,0,0.0,0.09531289432107833,3.0946885701619083e-06,0.4422400077196057,0.25931056800784047,1.4613136440143757,0.367562706963013
VEGFR2,breast cancer,angiogenesis,1,0,0.0,0.15375608988903122,0.002805000751724694,0.4803467583873259,0.6705817555284743,2.6907528492500834,0.2292876127652155
MTOR,hnscc,cell_cycle,1,0,0.0,0.12360397359594942,0.005563769353498814,0.35668708943819377,0.9035267611747109,5.406325300121156,0.13680167418090308
RRM1,lymphoma,cytotoxic_chemo,1,0,0.0,0.09531289432107833,3.0946885701619083e-06,0.4422400077196057,0.25931056800784047,1.4613136440143757,0.367562706963013
CRBN,cancer nos,proteostasis_immunomodulatory,1,1,1.0,0.3535091791140447,0.10040240010553239,0.6579446122694297,1.4324021069242476,4.4483304189475525,0.1453333633068811
EGFR,prostate cancer,growth_factor_kinase,1,0,0.0,0.1303674551646283,0.001507126996637496,0.43121460857449534,0.6025372726252013,3.019300837693942,0.21636413395079923
EGFR,glioblastoma,growth_factor_kinase,1,0,0.0,0.1303674551646283,0.001507126996637496,0.43121460857449534,0.6025372726252013,3.019300837693942,0.21636413395079923
EGFR,gastric cancer,growth_factor_kinase,1,0,0.0,0.1303674551646283,0.001507126996637496,0.43121460857449534,0.6025372726252013,3.019300837693942,0.21636413395079923
DNA,prostate cancer,cytotoxic_chemo,1,0,0.0,0.09531289432107833,3.0946885701619083e-06,0.4422400077196057,0.25931056800784047,1.4613136440143757,0.367562706963013
DNA,melanoma,cytotoxic_chemo,1,1,1.0,0.46287560128409133,0.06610251911029046,0.8934831911189446,0.25931056800784047,1.4613136440143757,0.367562706963013
DNA,hepatocellular carcinoma,cytotoxic_chemo,1,1,1.0,0.46287560128409133,0.06610251911029046,0.8934831911189446,0.25931056800784047,1.4613136440143757,0.367562706963013
DNA,glioblastoma,cytotoxic_chemo,1,0,0.0,0.09531289432107833,3.0946885701619083e-06,0.4422400077196057,0.25931056800784047,1.4613136440143757,0.367562706963013
DNA,endometrial cancer,cytotoxic_chemo,1,0,0.0,0.09531289432107833,3.0946885701619083e-06,0.4422400077196057,0.25931056800784047,1.4613136440143757,0.367562706963013
DNA,colorectal cancer,cytotoxic_chemo,1,1,1.0,0.46287560128409133,0.06610251911029046,0.8934831911189446,0.25931056800784047,1.4613136440143757,0.367562706963013
CTLA4,prostate cancer,immune_checkpoint,1,0,0.0,0.14556232103775146,0.0034700370534185283,0.44555925110758554,0.7256650443404796,3.259588276484756,0.20059161202954975
CTLA4,nsclc,immune_checkpoint,1,0,0.0,0.14556232103775146,0.0034700370534185283,0.44555925110758554,0.7256650443404796,3.259588276484756,0.20059161202954975
CTLA4,hepatocellular carcinoma,immune_checkpoint,1,0,0.0,0.14556232103775146,0.0034700370534185283,0.44555925110758554,0.7256650443404796,3.259588276484756,0.20059161202954975
CRBN,hepatocellular carcinoma,proteostasis_immunomodulatory,1,0,0.0,0.20817581580716363,0.02709951552292811,0.4889675008586829,1.4324021069242476,4.4483304189475525,0.1453333633068811
CRBN,bladder cancer,proteostasis_immunomodulatory,1,0,0.0,0.20817581580716363,0.02709951552292811,0.4889675008586829,1.4324021069242476,4.4483304189475525,0.1453333633068811
ERBB2,colorectal cancer,growth_factor_kinase,1,0,0.0,0.1303674551646283,0.001507126996637496,0.43121460857449534,0.6025372726252013,3.019300837693942,0.21636413395079923
CDK4,hnscc,cell_cycle,1,0,0.0,0.12360397359594942,0.005563769353498814,0.35668708943819377,0.9035267611747109,5.406325300121156,0.13680167418090308
CD274,solid tumors,immune_checkpoint,1,0,0.0,0.14556232103775146,0.0034700370534185283,0.44555925110758554,0.7256650443404796,3.259588276484756,0.20059161202954975
CD274,pancreatic cancer,immune_checkpoint,1,0,0.0,0.14556232103775146,0.0034700370534185283,0.44555925110758554,0.7256650443404796,3.259588276484756,0.20059161202954975
CD274,leukemia,immune_checkpoint,1,0,0.0,0.14556232103775146,0.0034700370534185283,0.44555925110758554,0.7256650443404796,3.259588276484756,0.20059161202954975
BTK,solid tumors,growth_factor_kinase,1,0,0.0,0.1303674551646283,0.001507126996637496,0.43121460857449534,0.6025372726252013,3.019300837693942,0.21636413395079923
BTK,cancer nos,growth_factor_kinase,1,0,0.0,0.1303674551646283,0.001507126996637496,0.43121460857449534,0.6025372726252013,3.019300837693942,0.21636413395079923
BRAF,endometrial cancer,ras_mapk_pathway,1,0,0.0,0.151199456495767,0.004861120076486925,0.4467218724239616,0.7941963985407925,3.4584441660966005,0.1903804358387567
