nct_id,canonical_drug,primary_target,disease,biomarker,modality,label_balanced,predicted_p,CDS,TDS,BFS,MCS,TWS,EMS,BIOLOGY_SCORE,top_strength,top_risk
NCT05356897,trastuzumab,ERBB2,colorectal cancer,MSI-H/dMMR,antibody,0,0.6446,0.5321686764736613,0.3055820000000001,0.40002550000000003,0.66211865,0.672766,0.46757084191006026,0.5157491165812413,TWS,TDS
NCT06054477,pembrolizumab,PDCD1,HNSCC,PD-L1,antibody,0,0.6416,0.3743420935575831,0.25764200000000004,0.465705,0.62162005,0.6679828,0.29805562033736904,0.45260024176212194,TWS,TDS
NCT06501989,fluorouracil,TYMS,colorectal cancer,,small_molecule,0,0.6414,0.29650487999999997,0.6937188,0.2625,0.59408085,0.5440576,0.48848339999999996,0.476431116,TDS,BFS
NCT05011058,unmapped,UNKNOWN,DLBCL,CD20,unknown,0,0.6363,0.21461214,0.7254688,0.46501799999999993,0.33259570000000005,0.6632596,0.38131620000000005,0.444700958,TDS,CDS
NCT03644342,unmapped,UNKNOWN,cancer NOS,,unknown,0,0.632,0.20078244,0.7038679999999999,0.2625,0.35995615,0.6090388,0.38390040000000003,0.406043798,TDS,CDS
NCT03925675,unmapped,UNKNOWN,cancer NOS,,unknown,0,0.6294,0.21512184,0.729246,0.2625,0.3537769,0.5911827999999999,0.40737,0.412324568,TDS,CDS
NCT05653427,unmapped,UNKNOWN,hepatocellular carcinoma,ER negative,unknown,0,0.6246,0.28277208000000004,0.6945684,0.44889300000000004,0.3524270500000001,0.49851160000000005,0.3643194,0.42798368600000003,TDS,CDS
NCT04648189,cetuximab,EGFR,lung cancer NOS,EGFR mutation,antibody,0,0.6231,0.6361972404455581,0.31191,0.564781,0.5989141499999999,0.62416,0.617547339804602,0.5647820290598019,CDS,TDS
NCT04282590,unmapped,UNKNOWN,cancer NOS,,unknown,0,0.6189,0.20989602000000002,0.7239316,0.2625,0.37574635,0.6399112,0.3744114,0.417241604,TDS,CDS
NCT04444141,unmapped,UNKNOWN,lymphoma,PD-L1,unknown,0,0.6176,0.28664093999999996,0.6727792,0.45075299999999996,0.33691705,0.6593907999999999,0.3850692,0.449910428,TDS,CDS
NCT03951077,unmapped,UNKNOWN,cancer NOS,,unknown,1,0.6173,0.2320974,0.6800120000000001,0.2625,0.3905497,0.6831004,0.3585552,0.42215456,TWS,CDS
NCT03514017,pembrolizumab,PDCD1,CLL,,antibody,0,0.6167,0.35366862000000004,0.29243600000000003,0.2625,0.63941185,0.624544,0.23287880404026662,0.41046991460604,MCS,EMS
NCT05653856,unmapped,UNKNOWN,prostate cancer,PSMA,unknown,1,0.6143,0.31476318000000003,0.7469136,0.4472765,0.38282259999999996,0.6383020000000001,0.3879378,0.472581641,TDS,CDS
NCT05952037,zanubrutinib,BTK,cancer NOS,BCL2 overexpression,small_molecule,1,0.6135,0.59550108,0.295474,0.455916,0.64564945,0.5456032,0.4879199640725349,0.5159670806108803,MCS,TDS
NCT04778410,venetoclax,BCL2,cancer NOS,,small_molecule,0,0.6134,0.48933156000000005,0.291988,0.2625,0.5807156,0.6978304000000001,0.7200510683463104,0.5098648522519466,EMS,BFS
NCT04331119,unmapped,UNKNOWN,lymphoma,,unknown,0,0.6059,0.25334178,0.7342884,0.2625,0.37869835,0.6298252000000001,0.37950480000000003,0.42732578600000004,TDS,CDS
NCT04426201,unmapped,UNKNOWN,cancer NOS,,unknown,0,0.6053,0.18468096,0.7397652,0.2625,0.36587035000000007,0.7701292,0.4174338,0.438584492,TWS,CDS
NCT05593094,t-dxd,ERBB2,HER2+ breast cancer,HER2 amplification,adc,1,0.6036,0.5477044688905944,0.33269600000000005,0.452172,0.6522929,0.6475804000000001,0.6986549733636787,0.5596649797826707,EMS,TDS
NCT05967286,alpelisib,PIK3CA,breast cancer,BRCA1/2,small_molecule,0,0.6026,0.5134109481339808,0.30093800000000004,0.431087,0.6372983,0.6601648,0.49889840074841685,0.5138050797390586,TWS,TDS
