nct_id,canonical_drug,primary_target,disease,mechanism_family,genomic_evidence_coverage,ml_model_probability,hierarchical_base_rate,hierarchical_ci,pair_n_trials_seen,own_data_weight,blended_decision_score,percentile_vs_historical_profiles
NCT01146795,bevacizumab,VEGFA,ovarian cancer,angiogenesis,0.67,0.136,0.072,"[0.00, 0.24]",6,0.43,0.099,29.0
NCT00460109,rituximab,MS4A1,lymphoma,bcell_lymphoma_target,0.78,0.113,0.092,"[0.03, 0.19]",24,0.59,0.105,3.1
NCT00723099,cyclophosphamide,DNA,lymphoma,cytotoxic_chemo,0.33,0.136,0.03,"[0.00, 0.14]",7,0.27,0.058,29.0
NCT02178436,gemcitabine,RRM1,pancreatic cancer,cytotoxic_chemo,0.33,0.133,0.034,"[0.00, 0.16]",6,0.26,0.059,14.7
NCT01660711,oxaliplatin,DNA,pancreatic cancer,cytotoxic_chemo,0.33,0.136,0.07,"[0.00, 0.33]",2,0.18,0.082,29.0
NCT03510871,nivolumab,PDCD1,hepatocellular carcinoma,immune_checkpoint,0.67,0.14,0.288,"[0.05, 0.61]",2,0.22,0.255,52.8
NCT00089999,lapatinib,ERBB2,breast cancer,growth_factor_kinase,0.89,0.244,0.268,"[0.14, 0.42]",21,0.76,0.25,86.2
NCT03990571,avelumab,CD274,cancer nos,immune_checkpoint,0.67,0.207,0.21,"[0.06, 0.41]",9,0.46,0.208,70.5
NCT00578864,cisplatin,DNA,cancer nos,cytotoxic_chemo,0.33,0.136,0.061,"[0.01, 0.16]",19,0.31,0.084,29.0
NCT03828799,regorafenib,VEGFR2,colorectal cancer,angiogenesis,0.78,0.242,0.258,"[0.07, 0.50]",7,0.53,0.249,74.5
NCT00071006,axitinib,VEGFR2,leukemia,angiogenesis,0.78,0.242,0.154,"[0.00, 0.48]",1,0.18,0.169,74.5
NCT00103207,cetuximab,EGFR,cancer nos,growth_factor_kinase,0.89,0.133,0.082,"[0.01, 0.20]",16,0.72,0.119,14.7
NCT02297139,dasatinib,ABL1,cancer nos,growth_factor_kinase,0.89,0.136,0.079,"[0.00, 0.27]",4,0.47,0.106,29.0
