nct_id,canonical_drug,primary_target,disease,modality,predicted_p,error_type
NCT04407442,unmapped,UNKNOWN,multiple myeloma,unknown,0.5014554099535302,false_positive
NCT03649464,unmapped,UNKNOWN,glioblastoma,unknown,0.5013445077708203,false_positive
NCT04602065,unmapped,UNKNOWN,lymphoma,unknown,0.06564503114449678,false_negative
NCT04109482,cyclophosphamide,DNA,cancer NOS,small_molecule,0.07209571602953456,false_negative
NCT03952585,cisplatin,DNA,cancer NOS,small_molecule,0.11413383491836115,false_negative
NCT06703346,cyclophosphamide,DNA,cancer NOS,small_molecule,0.14611778021199243,false_negative
NCT03929666,capecitabine,TYMS,colorectal cancer,small_molecule,0.14856164999883884,false_negative
NCT04968015,venetoclax,BCL2,AML,small_molecule,0.15819129096782433,false_negative
NCT04725994,irinotecan,TOP1,gastric cancer,small_molecule,0.158731997109167,false_negative
NCT05839626,unmapped,UNKNOWN,multiple myeloma,unknown,0.15987753245536354,false_negative
NCT04346888,unmapped,UNKNOWN,cancer NOS,unknown,0.18446589203378047,false_negative
NCT04809467,unmapped,UNKNOWN,CLL,unknown,0.18800776052134444,false_negative
NCT05554354,binimetinib,MAP2K1,breast cancer,small_molecule,0.19420125125068302,false_negative
NCT04305054,pembrolizumab,PDCD1,melanoma,antibody,0.1956707582480935,false_negative
NCT04003623,unmapped,UNKNOWN,solid tumors,unknown,0.2073639651675373,false_negative
NCT04193553,lenvatinib,VEGFR2,cancer NOS,small_molecule,0.2276550040879623,false_negative
NCT03930953,rituximab,MS4A1,lymphoma,antibody,0.22789951592429245,false_negative
NCT03873493,venetoclax,BCL2,cancer NOS,small_molecule,0.2333994065125242,false_negative
NCT03900637,letrozole,CYP19A1,breast cancer,small_molecule,0.23729994382523226,false_negative
NCT03761056,cyclophosphamide,DNA,lymphoma,small_molecule,0.23782747152619335,false_negative
NCT04629508,unmapped,UNKNOWN,cancer NOS,unknown,0.24021101708670675,false_negative
NCT05573555,ribociclib,CDK4,breast cancer,small_molecule,0.2513508604881195,false_negative
NCT05428969,venetoclax,BCL2,AML,small_molecule,0.2584493082714197,false_negative
NCT04700072,pembrolizumab,PDCD1,melanoma,antibody,0.26599160554928747,false_negative
NCT04828486,pembrolizumab,PDCD1,hepatocellular carcinoma,antibody,0.2732658498538431,false_negative
NCT05858177,temozolomide,DNA,glioma,small_molecule,0.2769108426090572,false_negative
NCT04453384,unmapped,UNKNOWN,cancer NOS,unknown,0.27900796552729223,false_negative
NCT05044897,unmapped,UNKNOWN,HNSCC,unknown,0.2812967722221146,false_negative
NCT05309629,carboplatin,DNA,lung cancer NOS,small_molecule,0.2838424405500373,false_negative
NCT04489173,unmapped,UNKNOWN,breast cancer,unknown,0.28559980112067995,false_negative
NCT05775900,cetuximab,EGFR,colorectal cancer,antibody,0.2972864451215501,false_negative
NCT02958852,letrozole,CYP19A1,breast cancer,small_molecule,0.29887220071880893,false_negative
NCT03992339,unmapped,UNKNOWN,DLBCL,unknown,0.31148314251516623,false_negative
NCT04827953,gemcitabine,RRM1,pancreatic cancer,small_molecule,0.3204768348597073,false_negative
NCT06425302,rituximab,MS4A1,lymphoma,antibody,0.32678978141926457,false_negative
NCT04713046,unmapped,UNKNOWN,cancer NOS,unknown,0.32710870644742623,false_negative
NCT06359041,unmapped,UNKNOWN,cancer NOS,unknown,0.32798101840460253,false_negative
NCT04013854,nivolumab,PDCD1,melanoma,antibody,0.3353819957123823,false_negative
NCT06865352,unmapped,UNKNOWN,AML,unknown,0.3531747273144819,false_negative
NCT05011019,unmapped,UNKNOWN,cancer NOS,unknown,0.3607566448621431,false_negative
NCT04758507,unmapped,UNKNOWN,renal cell carcinoma,unknown,0.364050198475081,false_negative
NCT05120271,unmapped,UNKNOWN,hepatocellular carcinoma,unknown,0.38255553664326347,false_negative
NCT03817398,unmapped,UNKNOWN,cancer NOS,unknown,0.3893200953797444,false_negative
NCT04154189,lenvatinib,VEGFR2,sarcoma,small_molecule,0.3900528491033841,false_negative
NCT04954001,unmapped,UNKNOWN,cancer NOS,unknown,0.39387865068829464,false_negative
NCT05845814,pembrolizumab,PDCD1,bladder cancer,antibody,0.3949853848649118,false_negative
NCT03677141,cyclophosphamide,DNA,lymphoma,small_molecule,0.39938290050252495,false_negative
NCT04671303,unmapped,UNKNOWN,lung cancer NOS,unknown,0.40037285239227544,false_negative
NCT05189197,zanubrutinib,BTK,DLBCL,small_molecule,0.40134953752513947,false_negative
NCT05351021,unmapped,UNKNOWN,breast cancer,unknown,0.4074604774399421,false_negative
NCT05467670,pembrolizumab,PDCD1,ovarian cancer,antibody,0.4112194094141704,false_negative
NCT05496231,unmapped,UNKNOWN,cancer NOS,unknown,0.41846518742696875,false_negative
NCT04243122,unmapped,UNKNOWN,cancer NOS,unknown,0.4224429798544068,false_negative
NCT04077723,obinutuzumab,MS4A1,lymphoma,antibody,0.43380085863541096,false_negative
NCT06521775,unmapped,UNKNOWN,cancer NOS,unknown,0.4343246658694035,false_negative
NCT05355597,unmapped,UNKNOWN,cancer NOS,unknown,0.43555382801718173,false_negative
NCT04560127,unmapped,UNKNOWN,thyroid cancer,unknown,0.44314610064906995,false_negative
NCT05994001,unmapped,UNKNOWN,cancer NOS,unknown,0.44642135528807014,false_negative
NCT06268574,unmapped,UNKNOWN,AML,unknown,0.45555944765200157,false_negative
NCT04231981,unmapped,UNKNOWN,cancer NOS,unknown,0.4672639257655632,false_negative
NCT07122063,unmapped,UNKNOWN,solid tumors,unknown,0.4774434740325926,false_negative
NCT05282901,pembrolizumab,PDCD1,melanoma,antibody,0.4805757861584508,false_negative
NCT04313504,niraparib,PARP1,HNSCC,small_molecule,0.48316493942458943,false_negative
NCT05561751,unmapped,UNKNOWN,multiple myeloma,unknown,0.4856970732602474,false_negative
